district_code,district,device_home_core,device_use_core,skill_q4,skill_q5b,skill_q6b,skill_q7,safety_behavior,safety_awareness,wifi_density,avg_income,living_pop_daytime,station_density_4g,station_density_5g,download_speed,mobile_data_usage,online_service_days,delinq_rate,n_station_density_4g,n_station_density_5g,n_download_speed,n_mobile_data_usage,n_online_service_days,n_wifi_density,n_avg_income,n_delinq_rate,n_device_home_core,n_device_use_core,n_skill_q4,n_skill_q5b,n_skill_q6b,n_skill_q7,n_safety_behavior,n_safety_awareness,score_Infrastructure,score_Available_for_Use,score_Affordability,score_Devices,score_Digital_Skills,score_Safety,score_UMC,rank_UMC,year
11010,종로구,1.484,2.185,0.713,0.684,0.676,0.713,0.679,0.633,1.81,3725859,341497.891,7.329,2.097,1343.235,6.304,276.966,10.971,0.951,0.589,1,0.389,0,0.447,0.492,0.576,0.509,0.621,0.318,0.327,0.568,1,0.968,1,0.847,0.278,0.534,0.565,0.553,0.984,0.627,4,2023
11020,중구,1.43,1.961,0.806,0.772,0.652,0.707,0.617,0.549,1.901,3513603,332439.824,7.481,1.88,1306.895,6.569,288.068,11.164,1,0.363,0.946,0.607,0.411,0.469,0.403,0.503,0.441,0.357,0.878,0.808,0.397,0.958,0.477,0.584,0.77,0.496,0.453,0.399,0.76,0.53,0.568,8,2023
11030,용산구,1.881,2.3,0.714,0.703,0.632,0.607,0.586,0.523,4.047,3971498,299586.974,7.293,2.49,1128.155,6.242,292.178,11.678,0.939,1,0.679,0.336,0.564,1,0.594,0.306,1,0.756,0.325,0.433,0.259,0.303,0.228,0.454,0.873,0.633,0.45,0.878,0.33,0.341,0.584,6,2023
11040,성동구,1.251,1.861,0.66,0.625,0.687,0.666,0.617,0.601,3.409,3734499,343476.268,4.711,1.968,1090.373,6.42,298.397,10.457,0.107,0.455,0.623,0.484,0.794,0.842,0.495,0.773,0.219,0.239,0,0,0.639,0.693,0.472,0.845,0.395,0.707,0.634,0.229,0.333,0.658,0.493,13,2023
11050,광진구,1.542,2.148,0.746,0.752,0.639,0.589,0.574,0.5,2.851,3192971,349559.892,6.231,2.091,1240.96,6.859,303.962,11.386,0.597,0.584,0.848,0.848,1,0.704,0.269,0.417,0.58,0.578,0.519,0.699,0.307,0.184,0.137,0.338,0.676,0.851,0.343,0.579,0.427,0.238,0.519,10,2023
11060,동대문구,1.537,2.127,0.723,0.712,0.618,0.578,0.595,0.438,1.36,3030256,335811.512,4.506,2.18,1025.28,6.517,291.584,10.799,0.041,0.676,0.526,0.565,0.542,0.336,0.201,0.642,0.575,0.553,0.383,0.481,0.161,0.111,0.301,0.03,0.414,0.481,0.422,0.564,0.284,0.166,0.388,22,2023
11070,중랑구,1.157,1.658,0.707,0.663,0.595,0.632,0.557,0.504,2.231,2598785,317431.326,5.856,2.171,1129.165,6.329,291.704,11.917,0.476,0.667,0.681,0.409,0.546,0.551,0.021,0.215,0.104,0,0.286,0.213,0,0.468,0,0.356,0.608,0.502,0.118,0.052,0.242,0.178,0.283,25,2023
11080,성북구,1.406,2.003,0.751,0.728,0.632,0.605,0.589,0.483,0.161,3281773,390162.382,6.008,2.035,1222.58,6.357,294.123,10.54,0.525,0.525,0.82,0.432,0.636,0.039,0.306,0.741,0.412,0.406,0.55,0.567,0.254,0.285,0.252,0.252,0.623,0.369,0.524,0.409,0.414,0.252,0.432,19,2023
11090,강북구,1.336,1.866,0.759,0.711,0.673,0.602,0.66,0.536,1.058,2547460,262983.466,5.863,1.943,1236.31,6.292,285.407,12.477,0.478,0.429,0.841,0.378,0.313,0.261,0,0,0.325,0.245,0.598,0.474,0.545,0.268,0.819,0.516,0.583,0.317,0,0.285,0.471,0.667,0.387,23,2023
11100,도봉구,1.449,1.969,0.776,0.722,0.649,0.637,0.562,0.432,0.003,2785111,245658.23,5.613,1.852,1143.14,6.179,291.441,11.325,0.398,0.334,0.702,0.285,0.536,0,0.099,0.441,0.465,0.366,0.698,0.537,0.374,0.5,0.037,0,0.478,0.274,0.27,0.416,0.527,0.019,0.331,24,2023
