district_code,district,device_home_core,device_use_core,skill_q4,skill_q5b,skill_q6b,skill_q7,safety_behavior,safety_awareness,wifi_density,avg_income,living_pop_daytime,station_density_4g,station_density_5g,download_speed,mobile_data_usage,online_service_days,delinq_rate,n_station_density_4g,n_station_density_5g,n_download_speed,n_mobile_data_usage,n_online_service_days,n_wifi_density,n_avg_income,n_delinq_rate,n_device_home_core,n_device_use_core,n_skill_q4,n_skill_q5b,n_skill_q6b,n_skill_q7,n_safety_behavior,n_safety_awareness,score_Infrastructure,score_Available_for_Use,score_Affordability,score_Devices,score_Digital_Skills,score_Safety,score_UMC,rank_UMC,year
11110,노원구,1.524,1.902,0.75,0.718,0.609,0.59,0.565,0.476,2.66,3195375,456638.843,4.38,1.537,1059.25,6.253,303.229,10.125,0,0.006,0.577,0.346,0.973,0.657,0.27,0.9,0.559,0.288,0.539,0.511,0.094,0.192,0.062,0.22,0.194,0.659,0.585,0.424,0.334,0.141,0.389,21,2023
11120,은평구,1.716,2.064,0.758,0.73,0.659,0.576,0.606,0.553,2.008,2912739,385325.7,6.753,2.232,1146.77,6.154,296.011,11.184,0.765,0.731,0.707,0.264,0.705,0.496,0.152,0.495,0.796,0.478,0.592,0.579,0.447,0.095,0.384,0.603,0.734,0.488,0.324,0.637,0.428,0.493,0.518,11,2023
11130,서대문구,1.519,2.143,0.722,0.734,0.738,0.679,0.669,0.6,0.863,3417706,355145.369,6.057,2.216,1137.115,6.139,287.532,10.294,0.541,0.714,0.693,0.252,0.391,0.213,0.363,0.835,0.551,0.571,0.376,0.599,1,0.776,0.884,0.839,0.649,0.285,0.599,0.561,0.688,0.862,0.607,5,2023
11140,마포구,1.605,2.193,0.736,0.768,0.699,0.646,0.645,0.601,2.824,3832436,460809.685,6.282,2.003,1251.435,6.362,301.448,10.672,0.613,0.492,0.863,0.436,0.907,0.698,0.536,0.691,0.659,0.631,0.459,0.787,0.723,0.561,0.7,0.841,0.656,0.68,0.613,0.645,0.633,0.77,0.666,2,2023
11150,양천구,1.565,1.985,0.757,0.691,0.65,0.676,0.617,0.558,0.99,3796034,342374.552,5.424,1.849,672.223,5.927,298.602,10.496,0.337,0.331,0,0.076,0.801,0.244,0.521,0.758,0.61,0.385,0.584,0.366,0.383,0.757,0.476,0.625,0.223,0.374,0.639,0.497,0.523,0.551,0.468,15,2023
11160,강서구,1.49,1.952,0.743,0.702,0.654,0.565,0.606,0.551,3.254,3160623,516228.895,6.193,1.856,1205.88,6.277,303.919,11.628,0.585,0.338,0.795,0.365,0.998,0.804,0.256,0.325,0.516,0.347,0.498,0.427,0.41,0.025,0.391,0.592,0.573,0.723,0.29,0.431,0.34,0.492,0.475,14,2023
11170,구로구,1.088,1.698,0.728,0.668,0.637,0.642,0.604,0.559,2.35,2994059,372004.389,6.634,1.887,942.967,6.118,296.263,10.663,0.727,0.371,0.403,0.234,0.715,0.58,0.186,0.694,0.018,0.048,0.413,0.24,0.29,0.531,0.37,0.633,0.5,0.51,0.44,0.033,0.369,0.501,0.392,20,2023
11180,금천구,1.623,2.1,0.783,0.742,0.647,0.635,0.614,0.552,0.448,2632285,221791.379,7.128,2.065,1079.925,6.154,288.937,11.838,0.886,0.556,0.608,0.264,0.443,0.11,0.035,0.245,0.681,0.521,0.741,0.646,0.36,0.484,0.449,0.596,0.683,0.273,0.14,0.601,0.558,0.523,0.463,16,2023
11190,영등포구,1.612,2.24,0.826,0.755,0.711,0.657,0.683,0.569,0.746,3604887,506352.326,6.436,1.9,898.755,6.158,302.224,10.328,0.663,0.384,0.338,0.267,0.936,0.184,0.441,0.822,0.668,0.686,1,0.717,0.812,0.63,0.995,0.683,0.462,0.462,0.632,0.677,0.79,0.839,0.643,3,2023
11200,동작구,1.662,2.222,0.791,0.735,0.712,0.561,0.572,0.523,2.183,3454170,346793.027,4.709,2.042,1273.19,6.224,297.03,9.985,0.106,0.532,0.896,0.322,0.743,0.539,0.378,0.953,0.729,0.665,0.787,0.609,0.815,0,0.122,0.455,0.511,0.535,0.666,0.697,0.553,0.288,0.542,9,2023
11210,관악구,1.622,2.038,0.801,0.782,0.724,0.648,0.602,0.501,0.333,2771927,418744.212,4.721,2.276,1177.49,7.042,303.667,12.016,0.11,0.776,0.753,1,0.989,0.082,0.094,0.176,0.68,0.447,0.849,0.864,0.898,0.57,0.359,0.342,0.547,0.69,0.135,0.564,0.795,0.351,0.514,12,2023
11220,서초구,1.861,2.507,0.729,0.72,0.669,0.665,0.659,0.587,2.193,4912401,604291.616,6.515,1.964,1045.71,5.836,295.969,9.863,0.689,0.451,0.557,0,0.704,0.542,0.987,1,0.976,1,0.414,0.523,0.514,0.683,0.81,0.772,0.565,0.415,0.993,0.988,0.533,0.791,0.714,1,2023
11230,강남구,1.355,1.825,0.686,0.639,0.657,0.628,0.586,0.533,1.555,4943841,894174.496,6.829,1.844,1160.74,5.989,295.126,11.327,0.79,0.326,0.728,0.127,0.673,0.384,1,0.44,0.349,0.197,0.161,0.076,0.43,0.438,0.231,0.503,0.615,0.395,0.72,0.273,0.276,0.367,0.441,17,2023
11240,송파구,1.378,1.742,0.804,0.806,0.702,0.613,0.683,0.604,1.994,3995905,742328.016,5.131,1.532,1065.637,6.102,303.766,10.617,0.242,0,0.586,0.221,0.993,0.492,0.604,0.711,0.378,0.1,0.864,1,0.747,0.343,1,0.86,0.276,0.569,0.658,0.239,0.739,0.93,0.568,7,2023
11250,강동구,1.073,1.736,0.788,0.776,0.664,0.605,0.615,0.618,2.252,3292857,465989.411,5.073,1.605,1176.76,6.084,297.087,10.967,0.224,0.077,0.752,0.206,0.745,0.556,0.311,0.578,0,0.092,0.772,0.833,0.479,0.286,0.463,0.927,0.351,0.502,0.444,0.046,0.592,0.695,0.438,18,2023
