year,district_code,district_name,score_UMC,score_Connect,score_AFU,score_Afford,score_Device,score_Skill,score_Safety
2023,11220,Seocho-gu,0.714,0.565,0.415,0.993,0.988,0.533,0.791
2023,11140,Mapo-gu,0.666,0.656,0.68,0.613,0.645,0.633,0.77
2023,11190,Yeongdeungpo-gu,0.643,0.462,0.462,0.632,0.677,0.79,0.839
2023,11010,Jongno-gu,0.627,0.847,0.278,0.534,0.565,0.553,0.984
2023,11130,Seodaemun-gu,0.607,0.649,0.285,0.599,0.561,0.688,0.862
2023,11030,Yongsan-gu,0.584,0.873,0.633,0.45,0.878,0.33,0.341
2023,11240,Songpa-gu,0.568,0.276,0.569,0.658,0.239,0.739,0.93
2023,11020,Jung-gu,0.568,0.77,0.496,0.453,0.399,0.76,0.53
2023,11200,Dongjak-gu,0.542,0.511,0.535,0.666,0.697,0.553,0.288
2023,11050,Gwangjin-gu,0.519,0.676,0.851,0.343,0.579,0.427,0.238
2023,11120,Eunpyeong-gu,0.518,0.734,0.488,0.324,0.637,0.428,0.493
2023,11210,Gwanak-gu,0.514,0.547,0.69,0.135,0.564,0.795,0.351
2023,11040,Seongdong-gu,0.493,0.395,0.707,0.634,0.229,0.333,0.658
2023,11160,Gangseo-gu,0.475,0.573,0.723,0.29,0.431,0.34,0.492
2023,11150,Yangcheon-gu,0.468,0.223,0.374,0.639,0.497,0.523,0.551
2023,11180,Geumcheon-gu,0.463,0.683,0.273,0.14,0.601,0.558,0.523
2023,11230,Gangnam-gu,0.441,0.615,0.395,0.72,0.273,0.276,0.367
2023,11250,Gangdong-gu,0.438,0.351,0.502,0.444,0.046,0.592,0.695
2023,11080,Seongbuk-gu,0.432,0.623,0.369,0.524,0.409,0.414,0.252
2023,11170,Guro-gu,0.392,0.5,0.51,0.44,0.033,0.369,0.501
2023,11110,Nowon-gu,0.389,0.194,0.659,0.585,0.424,0.334,0.141
2023,11060,Dongdaemun-gu,0.388,0.414,0.481,0.422,0.564,0.284,0.166
2023,11090,Gangbuk-gu,0.387,0.583,0.317,0.0,0.285,0.471,0.667
2023,11100,Dobong-gu,0.331,0.478,0.274,0.27,0.416,0.527,0.019
2023,11070,Jungnang-gu,0.283,0.608,0.502,0.118,0.052,0.242,0.178
